Center X: 142.000000, Center Y: 125.000000
Center X: 109.000000, Center Y: 125.500000
Center X: 141.000000, Center Y: 161.000000
Center X: 108.000000, Center Y: 159.500000
Center X: 142.000000, Center Y: 125.000000
Center X: 109.000000, Center Y: 125.500000
Center X: 141.000000, Center Y: 161.000000
Center X: 108.000000, Center Y: 159.500000
Center X: 142.000000, Center Y: 125.000000
Center X: 109.000000, Center Y: 125.500000
Center X: 141.000000, Center Y: 161.000000
Center X: 108.000000, Center Y: 159.500000
Center X: 142.000000, Center Y: 125.000000
Center X: 109.000000, Center Y: 125.500000
Center X: 141.500000, Center Y: 161.000000
Center X: 108.000000, Center Y: 159.500000
Center X: 142.000000, Center Y: 125.000000
Center X: 109.000000, Center Y: 125.500000
Center X: 141.000000, Center Y: 161.000000
Center X: 108.000000, Center Y: 159.500000
Center X: 142.000000, Center Y: 125.000000
Center X: 109.000000, Center Y: 125.500000
Center X: 141.000000, Center Y: 161.000000
Center X: 108.000000, Center Y: 159.500000
Center X: 142.000000, Center Y: 125.000000
Center X: 109.000000, Center Y: 125.500000
Center X: 141.500000, Center Y: 161.000000
Center X: 108.000000, Center Y: 160.000000
Center X: 142.000000, Center Y: 125.000000
Center X: 109.000000, Center Y: 125.500000
Center X: 141.500000, Center Y: 161.000000
Center X: 108.000000, Center Y: 160.000000
Center X: 142.000000, Center Y: 125.000000
Center X: 109.000000, Center Y: 125.500000
Center X: 141.500000, Center Y: 161.000000
Center X: 108.000000, Center Y: 160.000000
Center X: 142.000000, Center Y: 125.000000
Center X: 109.000000, Center Y: 125.500000
Center X: 141.500000, Center Y: 161.000000
Center X: 108.000000, Center Y: 160.500000
Center X: 142.000000, Center Y: 125.000000
Center X: 109.000000, Center Y: 125.500000
Center X: 141.500000, Center Y: 161.000000
Center X: 108.000000, Center Y: 160.500000
Center X: 142.000000, Center Y: 125.000000
Center X: 109.000000, Center Y: 125.500000
Center X: 141.500000, Center Y: 161.000000
Center X: 108.000000, Center Y: 160.500000
Center X: 142.000000, Center Y: 125.000000
Center X: 109.000000, Center Y: 125.500000
Center X: 141.500000, Center Y: 161.000000
Center X: 108.500000, Center Y: 160.500000
Center X: 142.000000, Center Y: 125.000000
Center X: 109.000000, Center Y: 125.500000
Center X: 141.500000, Center Y: 161.000000
Center X: 108.500000, Center Y: 160.500000
Center X: 142.000000, Center Y: 125.000000
Center X: 109.000000, Center Y: 125.500000
Center X: 141.500000, Center Y: 161.000000
